Season,Year,Common_Name,TotCatch,n,Prop
Spring,2017,Pollock,24,2,0.012578616352201259
Spring,2017,Sand Lance American,2,1,0.006289308176100629
Spring,2017,Shad American,122,17,0.1069182389937107
Spring,2017,Smelt Rainbow,13,6,0.03773584905660377
Spring,2018,Butterfish,1,1,0.007874015748031496
Spring,2018,Cunner,9,2,0.015748031496062992
Spring,2018,Hake Atlantic Red,639,18,0.14173228346456693
Spring,2018,Hake Silver (Whiting),15093,21,0.16535433070866143
Spring,2018,Hake White,13,6,0.047244094488188976
Spring,2018,Herring Atlantic,3291,19,0.14960629921259844
Spring,2018,Herring Blueback,15285,15,0.11811023622047244
Spring,2018,Mackerel Atlantic,7,3,0.023622047244094488
Spring,2018,Monkfish,68,17,0.13385826771653545
Spring,2018,Pollock,2,2,0.015748031496062992
Spring,2018,Sand Lance American,12,2,0.015748031496062992
Spring,2018,Shad American,78,15,0.11811023622047244
Spring,2018,Silverside Atlantic,6,2,0.015748031496062992
Spring,2018,Smelt Rainbow,39,4,0.031496062992125984
Spring,2019,Alewife,7868,21,0.15
Spring,2019,Cunner,18,3,0.02142857142857143
Spring,2019,Hake Atlantic Red,221,18,0.12857142857142856
Spring,2019,Hake Silver (Whiting),5559,20,0.14285714285714285
Spring,2019,Hake White,18,8,0.05714285714285714
Spring,2019,Herring Atlantic,21564,20,0.14285714285714285
Spring,2019,Herring Blueback,10621,18,0.12857142857142856
Spring,2019,Mackerel Atlantic,14,8,0.05714285714285714
Spring,2019,Monkfish,9,6,0.04285714285714286
Spring,2019,Pollock,1,1,0.007142857142857143
Spring,2019,Shad American,103,15,0.10714285714285714
Spring,2019,Smelt Rainbow,70,2,0.014285714285714285
Spring,2021,Alewife,4295,19,0.1450381679389313
Spring,2021,Butterfish,3,2,0.015267175572519083
Spring,2021,Cunner,89,9,0.06870229007633588
Spring,2021,Hake Atlantic Red,340,18,0.13740458015267176
Spring,2021,Hake Silver (Whiting),7330,20,0.15267175572519084
Spring,2021,Hake White,15,7,0.05343511450381679
Spring,2021,Herring Atlantic,529,13,0.09923664122137404
Spring,2021,Herring Blueback,1963,16,0.12213740458015267
Spring,2021,Monkfish,12,9,0.06870229007633588
Spring,2021,Pollock,1,1,0.007633587786259542
Spring,2021,Sand Lance American,15,3,0.022900763358778626
Spring,2021,Shad American,91,12,0.0916030534351145
Spring,2021,Smelt Rainbow,4,2,0.015267175572519083
Spring,2022,Alewife,1918,15,0.13043478260869565
Spring,2022,Butterfish,419,7,0.06086956521739131
Spring,2022,Cunner,102,6,0.05217391304347826
Spring,2022,Hake Atlantic Red,888,11,0.09565217391304348
Spring,2022,Hake Silver (Whiting),34248,14,0.12173913043478261
Spring,2022,Hake White,31,6,0.05217391304347826
Spring,2022,Herring Atlantic,4550,12,0.10434782608695652
Spring,2022,Herring Blueback,896,14,0.12173913043478261
Spring,2022,Mackerel Atlantic,102,8,0.06956521739130435
Spring,2022,Monkfish,25,8,0.06956521739130435
Spring,2022,Pollock,16,4,0.034782608695652174
Spring,2022,Shad American,78,9,0.0782608695652174
Spring,2022,Silverside Atlantic,1,1,0.008695652173913044
