Survey,Season,Year,Tow_Number,Region,Depth_Stratum,Grid,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Start_Date,Tow_Time,Start_Depth_fathoms,End_Depth_fathoms,Tow_Type,Tow_LengthNM,Air_Temp,Bottom_WaterTemp_DegC,Bottom_Salinity,Surface_WaterTemp_DegC,Surface_Salinity
SP08,Spring,2008,32,2,3,541,43.60068,-69.7173,43.58927,-69.7298,2008-05-13T16:22:00Z,0:20,54.7,56.5,RA,0.875,,5.1,32.82,5.3,32.07
SP08,Spring,2008,33,2,3,473,43.62768,-69.59768,43.6382,-69.59237,2008-05-14T07:57:00Z,0:17,59.5,55,R,0.672,,5,32.27,4.9,32.27
SP08,Spring,2008,34,2,3,347,43.68793,-69.65567,43.67598,-69.66417,2008-05-14T10:16:00Z,0:18,46.2,44.9,R,0.806,,4.8,32.2,4.9,32.03
SP08,Spring,2008,36,2,1,305,43.71048,-69.77782,43.70093,-69.76433,2008-05-14T14:01:00Z,0:20,10.5,11,R,0.82,,6.8,30.16,,
SP08,Spring,2008,37,2,1,9,43.95595,-69.37887,43.94477,-69.38987,2008-05-15T07:36:00Z,0:20,7.8,9.9,R,0.823,,8.5,30,9.2,29.07
SP08,Spring,2008,38,2,1,53,43.88013,-69.32633,43.86645,-69.32933,2008-05-15T09:26:00Z,0:20,15.2,20,R,0.831,,5.5,31.46,7.5,28.88
SP08,Spring,2008,39,2,2,104,43.83537,-69.3087,43.8256,-69.3112,2008-05-15T10:46:00Z,0:15,40.5,36,R,0.596,,5.3,31.94,5.7,31.7
SP08,Spring,2008,40,2,2,120,43.81233,-69.45952,43.80285,-69.47372,2008-05-15T13:07:00Z,0:20,34.5,41.1,R,0.837,,4.7,31.97,5.9,31.72
SP08,Spring,2008,42,2,3,169,43.77215,-69.4894,43.75767,-69.49353,2008-05-16T07:10:00Z,0:20,49.2,50.8,R,0.887,,4.7,32.12,4.7,32.2
SP08,Spring,2008,43,2,3,279,43.71852,-69.45202,43.73012,-69.45147,2008-05-16T08:43:00Z,0:17,58.5,55,R,0.696,,4.6,32.62,,
SP08,Spring,2008,44,2,4,397,43.66293,-69.44782,43.67147,-69.43717,2008-05-16T10:17:00Z,0:18,67.2,61,R,0.691,,4.6,32.68,4.6,32.62
SP08,Spring,2008,46,2,4,515,43.61165,-69.54988,43.6221,-69.55698,2008-05-16T13:11:00Z,0:18,70.2,68.1,RA,0.699,,4.7,32.6,4.6,32.6
SP08,Spring,2008,47,3,2,436,43.83375,-69.0605,43.8453,-69.05603,2008-05-19T09:19:00Z,0:17,40,39,R,0.719,,5.6,31.91,5.9,31.56
SP08,Spring,2008,49,3,1,275,43.94532,-69.16723,43.95592,-69.15413,2008-05-19T13:05:00Z,0:20,20.5,18.2,R,0.852,,5.8,31.45,7.4,30.34
SP08,Spring,2008,50,3,1,165,44.11687,-69.05345,44.10262,-69.05145,2008-05-19T16:11:00Z,0:20,21.9,19,R,0.859,,5.1,31.23,6.3,30.46
SP08,Spring,2008,51,3,1,65,44.2558,-68.8314,44.24628,-68.83327,2008-05-20T07:25:00Z,0:14,10.8,10.2,R,0.578,,5.8,31.15,7.6,29.09
SP08,Spring,2008,52,3,2,76,44.21588,-68.91252,44.22927,-68.90443,2008-05-20T08:45:00Z,0:20,33.5,31.5,R,0.876,,5.5,31.19,7.9,28.04
SP08,Spring,2008,53,3,2,101,44.18008,-68.9351,44.19355,-68.92948,2008-05-20T10:02:00Z,0:20,31,29.5,R,0.843,,5.5,31.36,5.5,31.31
SP08,Spring,2008,54,3,3,178,44.08875,-68.9927,44.10258,-68.98787,2008-05-20T11:45:00Z,0:20,52.8,47.3,R,0.855,,5.6,29.85,7.1,29.22
SP08,Spring,2008,55,3,3,544,43.7686,-69.15643,43.78127,-69.14833,2008-05-21T08:57:00Z,0:20,50,46.4,R,0.837,,5.5,32.19,6.2,31.72
SP08,Spring,2008,56,3,4,706,43.63522,-69.13318,43.64807,-69.12625,2008-05-21T11:37:00Z,0:20,71.8,74.9,RA,0.827,,4.8,32.81,7.4,31.38
SP08,Spring,2008,58,3,4,730,43.62135,-68.84477,43.6093,-68.85282,2008-05-21T15:27:00Z,0:20,73.2,67.2,R,0.802,,5.3,32.7,7.7,31.49
SP08,Spring,2008,59,3,3,557,43.76745,-68.72287,43.78078,-68.71863,2008-05-22T07:48:00Z,0:20,57.5,55,R,0.82,,5.4,32.41,7.8,31.19
SP08,Spring,2008,60,3,3,383,43.88512,-68.663,43.89932,-68.66278,2008-05-22T13:42:00Z,0:20,53,53.5,RA,0.852,,5.2,32,7.9,30.85
SP08,Spring,2008,62,3,3,336,43.92453,-68.78793,43.9168,-68.77167,2008-05-22T16:09:00Z,0:20,49.5,60.9,R,0.844,,5.4,31.94,7.9,31.11
SP08,Spring,2008,63,3,2,248,43.98737,-68.75372,43.98858,-68.73738,2008-05-22T17:37:00Z,0:18,37,45,NA,0.711,,5.4,31.93,7.9,30.57
SP08,Spring,2008,64,3,1,16,44.32042,-68.76465,44.30997,-68.76445,2008-05-23T09:17:00Z,0:16,15,18.5,R,0.628,,5.7,31.07,8.6,29.2
SP08,Spring,2008,65,3,1,108,44.18097,-68.7643,44.193,-68.75828,2008-05-23T10:51:00Z,0:18,18.2,15,R,0.767,,6.9,30.96,7.9,29.63
SP08,Spring,2008,66,3,2,122,44.16498,-68.75955,44.1786,-68.75455,2008-05-23T12:03:00Z,0:20,33.5,30,R,0.845,,6.6,31.1,7.5,29.53
SP08,Spring,2008,68,4,3,485,44.0194,-68.53987,44.00983,-68.55388,2008-05-26T08:08:00Z,0:20,38.8,42.5,R,0.835,,5.4,31.91,7.9,31.43
SP08,Spring,2008,69,4,1,339,44.11057,-68.58803,44.1187,-68.57788,2008-05-26T10:59:00Z,0:15,13.5,12,R,0.656,,7.6,31.37,8.8,31.09
SP08,Spring,2008,71,4,1,166,44.23295,-68.50747,44.21973,-68.50428,2008-05-26T15:21:00Z,0:20,12,10.5,R,0.805,,8.6,30.98,9.5,30.74
SP08,Spring,2008,72,4,1,24,44.38957,-68.51485,44.38108,-68.5297,2008-05-27T08:31:00Z,0:20,15.8,14.5,R,0.816,,8.9,30.68,10.2,30.97
SP08,Spring,2008,73,4,1,64,44.33042,-68.54772,44.31637,-68.54512,2008-05-27T09:53:00Z,0:20,18,18.8,RA,0.85,,6.6,31.38,6.8,28.35
SP08,Spring,2008,74,4,2,79,44.3078,-68.46873,44.29683,-68.47833,2008-05-27T11:06:00Z,0:20,33.5,27.5,R,0.777,,10.6,25.78,8.5,25.53
SP08,Spring,2008,75,4,3,653,43.91263,-68.51948,43.89978,-68.5273,2008-05-28T08:32:00Z,0:20,54,54,RA,0.842,,5.3,32.51,7.7,31.55
SP08,Spring,2008,76,4,3,542,43.99407,-68.44078,43.98062,-68.44707,2008-05-28T10:24:00Z,0:20,45.8,47.5,R,0.851,,5.3,32.35,7.8,31.5
SP08,Spring,2008,77,4,4,622,43.92078,-68.26047,43.93555,-68.25858,2008-05-28T13:01:00Z,0:20,62.5,62.8,RA,0.889,,5.3,32.19,7.7,31.59
SP08,Spring,2008,78,4,4,577,43.96118,-68.2348,43.9752,-68.22888,2008-05-28T14:08:00Z,0:20,59.5,58.5,R,0.879,,5.3,32.39,8.3,31.49
SP08,Spring,2008,79,4,3,495,44.00618,-68.29982,44.02012,-68.30132,2008-05-28T15:35:00Z,0:20,51.5,51.4,R,0.839,,5.3,32.34,8.6,31.5
SP08,Spring,2008,80,4,2,217,44.18445,-68.28335,44.19643,-68.2918,2008-05-28T17:54:00Z,0:20,21.5,21.9,R,0.806,,6,31.67,8.5,31.35
SP08,Spring,2008,81,4,3,414,44.07423,-68.1212,44.06097,-68.1261,2008-05-29T07:18:00Z,0:20,56,55,R,0.823,,5.4,32.58,7.5,31.47
SP08,Spring,2008,83,4,4,331,44.1199,-67.95312,44.1102,-67.9667,2008-05-29T10:25:00Z,0:20,62.2,71.8,RA,0.826,,5.4,32.61,7.2,31.56
SP08,Spring,2008,84,4,3,303,44.12592,-67.88135,44.1352,-67.89398,2008-05-29T11:49:00Z,0:20,55,53.2,R,0.78,,5.4,32.51,6.8,31.68
SP08,Spring,2008,85,4,3,223,44.18437,-68.03487,44.19278,-68.02103,2008-05-29T13:46:00Z,0:20,46,45.4,R,0.78,,5.3,31.98,7.7,31.48
SP08,Spring,2008,86,4,1,18,44.40797,-68.23335,44.4053,-68.22218,2008-05-30T07:57:00Z,0:13,7.5,9.2,R,0.506,,6.2,31.61,9,31.02
SP08,Spring,2008,88,4,2,104,44.28763,-68.08597,44.29407,-68.06692,2008-05-30T15:17:00Z,0:20,34.5,34.1,R,0.907,,5.5,31.62,8.9,31.46
SP08,Spring,2008,90,5,1,386,44.39133,-67.93002,44.39887,-67.92,2008-06-02T10:37:00Z,0:14,19.5,14,R,0.625,,6.9,31.55,8.3,31.45
SP08,Spring,2008,91,5,2,483,44.3604,-67.89378,44.34767,-67.89047,2008-06-02T12:44:00Z,0:19,22.5,26,RA,0.777,,6.4,31.72,6.9,31.62
SP08,Spring,2008,92,5,2,606,44.28617,-67.84013,44.27763,-67.85622,2008-06-02T14:15:00Z,0:20,37.3,38,R,0.861,,5.7,32.03,7.4,31.73
SP08,Spring,2008,93,5,3,634,44.27445,-67.77885,44.26323,-67.78988,2008-06-02T15:36:00Z,0:20,41.5,42.2,R,0.824,,5.5,32.28,6.4,31.87
SP08,Spring,2008,94,5,3,555,44.31452,-67.73667,44.32285,-67.71925,2008-06-02T17:05:00Z,0:20,42,40.9,R,0.9,,5.6,31.93,6.6,31.84
SP08,Spring,2008,95,5,4,662,44.2331,-67.67477,44.24713,-67.67087,2008-06-03T07:19:00Z,0:20,57.5,57.8,RA,0.858,,5.6,32.62,6.8,31.94
SP08,Spring,2008,96,5,4,728,44.19575,-67.52402,44.20638,-67.506,2008-06-03T09:34:00Z,0:22,105,106,R,1,,6.7,33.95,5.7,33.87
SP08,Spring,2008,97,5,4,671,44.25388,-67.4584,44.24348,-67.44552,2008-06-03T11:03:00Z,0:20,106,111,R,0.835,,6.6,33.94,7.8,31.94
SP08,Spring,2008,99,5,3,468,44.35488,-67.47117,44.35023,-67.49133,2008-06-03T14:15:00Z,0:20,54.2,55.4,R,0.911,,5.8,32.41,6.9,31.86
SP08,Spring,2008,100,5,3,589,44.2955,-67.60723,44.28525,-67.62187,2008-06-03T16:00:00Z,0:20,47.5,52,R,0.882,,5.7,32.26,6.9,31.93
SP08,Spring,2008,101,5,3,527,44.32883,-67.62658,44.3411,-67.62085,2008-06-04T09:05:00Z,0:18,48.3,42.5,R,0.776,,5.8,32.01,6.3,31.9
SP08,Spring,2008,102,5,3,333,44.42498,-67.54345,44.43645,-67.53227,2008-06-04T11:02:00Z,0:20,42.1,43.2,R,0.84,,6,31.9,6.5,31.8
SP08,Spring,2008,103,5,2,364,44.41578,-67.5715,44.40512,-67.58322,2008-06-04T12:19:00Z,0:20,37,32.6,NA,0.814,,6,31.87,6.8,31.72
SP08,Spring,2008,106,5,2,89,44.62123,-67.2131,44.63162,-67.19842,2008-06-05T10:56:00Z,0:20,35.5,37,R,0.886,,6.2,31.81,6.2,31.78
SP08,Spring,2008,107,5,1,61,44.65793,-67.16414,44.65027,-67.17903,2008-06-05T12:55:00Z,0:20,25.5,24.5,R,0.787,,6.2,31.78,6.4,31.78
SP08,Spring,2008,108,5,3,90,44.62048,-67.17497,44.6112,-67.18943,2008-06-05T14:27:00Z,0:20,49.8,51.1,RA,0.832,,6.1,31.94,6.4,31.78
SP08,Spring,2008,109,5,2,29,44.72175,-67.07557,44.731,-67.05885,2008-06-06T08:24:00Z,0:20,34.5,36,R,0.903,,6.1,31.77,6.1,31.76
SP08,Spring,2008,110,5,1,28,44.71813,-67.09575,44.7302,-67.0793,2008-06-06T09:59:00Z,0:20,20.5,22.5,RA,0.97,,6.1,31.77,6.2,31.78
SP08,Spring,2008,112,5,3,49,44.6841,-66.99813,44.69243,-66.98438,2008-06-06T13:28:00Z,0:20,47.5,49.5,R,0.772,,6.1,31.78,6.2,31.76
FL08,Fall,2008,1,1,3,640,42.91122,-70.54472,42.91878,-70.56152,2008-09-30T09:42:00Z,0:20,44.5,43.3,R,0.868,15,8.3,32.5,9.7,32.34
FL08,Fall,2008,2,1,3,681,42.87352,-70.5598,42.88432,-70.54488,2008-09-30T11:46:00Z,0:20,47.5,47.5,R,0.812,16.1,7.4,32.65,15.5,31.09
FL08,Fall,2008,4,1,1,554,42.98288,-70.65973,42.97618,-70.66813,2008-09-30T16:41:00Z,0:20,13.4,12.9,R,0.85,16.1,12.9,31.65,15,30.55
FL08,Fall,2008,5,1,4,666,42.89238,-70.43755,42.90103,-70.45322,2008-10-01T08:00:00Z,0:20,71.7,65.2,R,0.865,15,6.7,32.44,15,31.05
FL08,Fall,2008,6,1,4,567,42.97912,-70.37343,42.98648,-70.3897,2008-10-01T10:17:00Z,0:20,64.7,60,R,0.844,15.6,6.2,32.72,15.2,31.33
FL08,Fall,2008,7,1,3,504,43.02943,-70.4451,43.01845,-70.45602,2008-10-01T12:24:00Z,0:20,52.4,52,R,0.817,15.6,7.8,32.74,15,30.92
FL08,Fall,2008,8,1,3,450,43.08273,-70.45283,43.07678,-70.47008,2008-10-01T14:27:00Z,0:20,43.6,42.4,R,0.851,15.6,8.3,32.54,14.9,30.94
FL08,Fall,2008,9,1,2,488,43.07835,-70.52085,43.08517,-70.50422,2008-10-01T16:53:00Z,0:20,34.1,34.3,R,0.84,15.6,9.2,32.45,14.8,30.96
FL08,Fall,2008,10,1,2,346,43.17568,-70.43718,43.16545,-70.44683,2008-10-02T09:39:00Z,0:18,35.7,32.6,NA,0.746,13.9,9.2,32.44,14.8,30.85
FL08,Fall,2008,12,1,4,373,43.16223,-70.28128,43.16462,-70.26345,2008-10-02T15:43:00Z,0:20,67.1,67.6,RA,0.794,13.9,5.9,32.99,14.8,31.01
FL08,Fall,2008,15,1,1,141,43.50288,-70.35162,43.5154,-70.3418,2008-10-04T10:20:00Z,0:20,6.9,6.2,NA,0.861,10.6,11.3,32.17,12.2,31.54
FL08,Fall,2008,16,1,1,1,43.55147,-70.28497,43.54635,-70.29503,2008-10-04T12:37:00Z,0:13,4.5,5.4,RA,0.536,12.8,11.5,32.75,12.3,31.58
FL08,Fall,2008,17,1,2,20,43.5023,-70.20673,43.51287,-70.19417,2008-10-04T13:56:00Z,0:20,34.8,33.4,NA,0.839,13.3,9.1,32.61,12.2,32.36
FL08,Fall,2008,18,2,1,154,43.77398,-70.03913,43.76453,-70.04038,2008-10-06T08:40:00Z,0:14,9.5,13.5,R,0.571,7.8,12.3,31.64,12.9,31.74
FL08,Fall,2008,19,2,2,375,43.66093,-69.96473,43.6712,-69.95848,2008-10-06T12:17:00Z,0:17,28.2,25.6,R,0.674,11.1,9.9,32.53,13.6,30.2
FL08,Fall,2008,20,2,1,337,43.69512,-69.8969,43.68893,-69.88755,2008-10-06T14:36:00Z,0:15,14,15,R,0.551,11.7,10.4,32.41,12.6,31.01
FL08,Fall,2008,21,2,4,720,43.47298,-69.95195,43.4628,-69.9647,2008-10-07T08:30:00Z,0:20,67.6,66,R,0.825,9.4,6.4,33.25,12.7,29.4
FL08,Fall,2008,22,2,4,723,43.47543,-69.88833,43.46168,-69.88658,2008-10-07T10:35:00Z,0:20,71.5,72.9,R,0.827,10,7.2,33.1,12.3,31.75
FL08,Fall,2008,23,2,4,691,43.50712,-69.88127,43.5132,-69.86453,2008-10-07T12:21:00Z,0:20,64.1,59.3,R,0.819,12.2,7.7,33.06,12.4,31.68
FL08,Fall,2008,24,2,3,615,43.54888,-69.90073,43.55772,-69.9146,2008-10-07T14:11:00Z,0:20,49.1,44.3,R,0.806,12.2,8.7,32.5,12.4,31.26
FL08,Fall,2008,27,2,2,425,43.65918,-69.74447,43.646,-69.7484,2008-10-08T10:45:00Z,0:20,33.1,40.2,R,0.809,12.2,9.3,32.64,12,30.77
FL08,Fall,2008,28,2,4,624,43.54413,-69.69232,43.55728,-69.68645,2008-10-08T12:59:00Z,0:20,65.6,63.8,R,0.829,12.2,7.7,32.95,12.1,29.26
FL08,Fall,2008,29,2,2,194,43.74725,-69.69592,43.75775,-69.69642,2008-10-08T16:54:00Z,0:15,31.7,31.8,R,0.63,12.2,9.7,32.5,12.3,31.25
FL08,Fall,2008,31,2,3,170,43.76767,-69.4853,43.7796,-69.47488,2008-10-09T11:35:00Z,0:20,45.9,46,NA,0.856,13.3,8.7,32.6,12.2,31.72
FL08,Fall,2008,33,2,3,242,43.7385,-69.41063,43.75175,-69.40478,2008-10-10T11:21:00Z,0:20,50.4,47.3,R,0.834,13.3,8.3,33.12,11.9,32.02
FL08,Fall,2008,34,2,3,208,43.76533,-69.35542,43.75232,-69.36238,2008-10-10T12:35:00Z,0:20,44.8,46.7,R,0.837,13.9,8.8,32.81,12.4,31.65
FL08,Fall,2008,48,3,3,377,43.8908,-68.79355,43.88288,-68.7911,2008-10-10T15:44:00Z,0:13,48.1,55.1,R,0.485,12.8,10.8,32.66,10.6,32.79
FL08,Fall,2008,35,3,3,566,43.7538,-69.20933,43.7666,-69.21648,2008-10-13T09:24:00Z,0:20,50.2,47.5,RA,0.829,10.6,8.9,33.06,12.6,31.66
FL08,Fall,2008,36,3,3,543,43.77648,-69.18233,43.76393,-69.17462,2008-10-13T10:44:00Z,0:20,47.7,48.7,R,0.823,11.1,8.6,32.97,12.5,31.33
FL08,Fall,2008,37,3,1,254,43.96653,-69.13987,43.96242,-69.15695,2008-10-13T13:35:00Z,0:20,15.8,15.8,R,0.781,11.7,11,32.15,12.5,31.41
FL08,Fall,2008,38,3,2,8,44.29745,-68.96707,44.3091,-68.9573,2008-10-14T09:19:00Z,0:19,32.3,33.5,R,0.816,12.2,11.9,32.04,12.3,30.68
FL08,Fall,2008,39,3,2,43,44.25812,-69.00072,44.24597,-69.00827,2008-10-14T12:20:00Z,0:19,26.7,26.4,R,0.798,12.2,11.7,32.13,12.7,27.56
FL08,Fall,2008,40,3,2,142,44.13732,-68.96527,44.14592,-68.95118,2008-10-14T15:41:00Z,0:20,34.9,31.5,R,0.799,12.8,11.5,32.17,12.9,28.16
FL08,Fall,2008,41,3,2,437,43.8249,-69.04438,43.8382,-69.03972,2008-10-15T09:35:00Z,0:20,39.4,37.4,R,0.825,10.6,9.8,32.75,12.8,29.54
FL08,Fall,2008,42,3,4,759,43.58162,-69.08093,43.58833,-69.06518,2008-10-15T14:23:00Z,0:20,75.7,73.9,R,0.808,11.1,7,33.15,11.8,31.59
FL08,Fall,2008,43,3,4,786,43.55777,-69.05173,43.54775,-69.03942,2008-10-15T16:02:00Z,0:20,74.7,65.6,R,0.807,11.1,7.1,33.23,12.2,31.96
FL08,Fall,2008,45,3,3,427,43.85387,-68.62478,43.84078,-68.62862,2008-10-16T09:27:00Z,0:20,54.9,53.7,NA,0.802,12.2,9.4,33.18,10.2,32.77
FL08,Fall,2008,46,3,3,557,43.76847,-68.72287,43.77925,-68.72018,2008-10-16T11:58:00Z,0:16,58.6,59,NA,0.675,12.8,9.3,33.18,10.4,32.78
FL08,Fall,2008,47,3,3,555,43.77428,-68.78533,43.7614,-68.78048,2008-10-16T13:24:00Z,0:20,56.6,57.9,NA,0.803,12.8,9.4,33.1,12,32.14
FL08,Fall,2008,50,3,1,171,44.10618,-68.77242,44.11772,-68.78353,2008-10-17T10:13:00Z,0:20,14.9,13.4,R,0.842,8.9,12,31.45,10.9,32.54
FL08,Fall,2008,51,3,1,131,44.15278,-68.78873,44.16023,-68.79782,2008-10-17T11:58:00Z,0:15,8.9,10.5,NA,0.597,8.9,12.1,31.43,12,31.52
FL08,Fall,2008,52,3,1,108,44.18762,-68.76087,44.17927,-68.76903,2008-10-17T13:16:00Z,0:15,18,15.7,NA,0.612,10,12,31.98,12.1,31.28
FL08,Fall,2008,53,4,1,78,44.30055,-68.49762,44.29137,-68.48518,2008-10-20T15:47:00Z,0:19,18.9,19.1,R,0.767,11.7,11.6,31.98,12.2,31.41
FL08,Fall,2008,54,4,3,563,43.97462,-68.54847,43.96595,-68.55477,2008-10-21T09:55:00Z,0:15,46.8,48.1,RA,0.605,10.6,10.4,32.85,11.7,31.44
FL08,Fall,2008,55,4,3,586,43.94295,-68.57763,43.95562,-68.5755,2008-10-21T11:30:00Z,0:20,46.4,44.1,NA,0.778,9.4,10.5,32.79,10.7,32.5
FL08,Fall,2008,56,4,3,614,43.93165,-68.44923,43.94482,-68.4455,2008-10-21T13:03:00Z,0:20,56.4,54,R,0.807,10,10.2,32.94,10.5,32.67
FL08,Fall,2008,57,4,3,518,44.00142,-68.38892,44.01302,-68.39662,2008-10-21T15:10:00Z,0:20,48,46.6,R,0.912,9.4,10.5,32.77,10.5,32.7
FL08,Fall,2008,58,4,4,443,44.06388,-68.12458,44.05052,-68.13028,2008-10-23T10:42:00Z,0:20,54.2,55.5,RA,0.84,3.3,10.2,32.82,10.7,32.52
FL08,Fall,2008,60,4,4,649,43.92442,-68.13517,43.92032,-68.15237,2008-10-23T14:35:00Z,0:20,77.6,80,R,0.803,5.6,7.8,34.03,10.3,32.84
FL08,Fall,2008,61,4,3,495,44.00607,-68.30143,44.0174,-68.29607,2008-10-23T17:03:00Z,0:19,49.7,50.2,NA,0.721,8.3,10.2,32.83,10.8,32.82
FL08,Fall,2008,62,4,2,9,44.43975,-68.2328,44.4362,-68.21448,2008-10-24T08:29:00Z,0:20,23.6,25.7,RA,0.814,5,10.7,32.32,10.3,32.65
FL08,Fall,2008,63,4,1,4,44.4574,-68.22713,44.46192,-68.20962,2008-10-24T09:52:00Z,0:20,12.6,11.5,R,0.799,6.1,10.6,32.17,10.6,32.32
FL08,Fall,2008,64,4,1,12,44.44145,-68.16387,44.43213,-68.14992,2008-10-24T11:28:00Z,0:20,19,18.1,R,0.82,6.1,10.6,32.35,10.5,32.27
FL08,Fall,2008,65,4,2,41,44.37253,-68.1696,44.35967,-68.16203,2008-10-24T13:09:00Z,0:20,24.8,25.7,RA,0.836,10,10.7,32.41,10.6,32.32
FL08,Fall,2008,67,4,2,120,44.25737,-68.13282,44.27095,-68.1329,2008-10-25T07:52:00Z,0:20,36.6,36.1,R,0.811,10.6,10.4,32.59,10.8,32.44
FL08,Fall,2008,68,5,4,742,44.16365,-67.81662,44.17123,-67.83113,2008-10-28T10:05:00Z,0:20,73.9,71.5,R,0.787,10.6,9.5,33.29,10.5,32.46
FL08,Fall,2008,69,5,4,751,44.15775,-67.7853,44.15097,-67.77032,2008-10-28T11:40:00Z,0:20,79.1,82.8,R,0.788,10.6,9.3,33.33,10.3,32.63
FL08,Fall,2008,70,5,4,700,44.21552,-67.7593,44.20457,-67.77128,2008-10-28T13:27:00Z,0:20,67.6,71.4,R,0.837,10.6,9.4,33.34,10,32.94
FL08,Fall,2008,71,5,1,234,44.47222,-67.8338,44.48283,-67.8393,2008-10-30T10:19:00Z,0:18,9.5,7.3,NA,0.681,5,9.8,31.69,10.2,32.7
FL08,Fall,2008,72,5,3,633,44.2643,-67.772683,44.25892,-67.78895,2008-10-31T09:28:00Z,0:19,45.1,43.5,R,0.803,3.9,9.7,33.05,9.7,32.01
FL08,Fall,2008,73,5,3,557,44.30433,-67.68377,44.31033,-67.66857,2008-10-31T11:12:00Z,0:20,48.4,46.2,R,0.773,5,9.8,32.95,9.9,32.6
FL08,Fall,2008,74,5,3,589,44.28775,-67.62388,44.2927,-67.60655,2008-10-31T12:43:00Z,0:20,53.5,50.2,R,0.805,5.6,9.8,32.98,9.9,32.61
FL08,Fall,2008,75,5,1,114,44.5837,-67.45293,44.58557,-67.45993,2008-11-01T08:41:00Z,0:08,8.6,7.2,R,0.341,4.4,9.6,31.92,9.8,32.68
FL08,Fall,2008,76,5,1,115,44.59938,-67.43645,44.59253,-67.4526,2008-11-01T10:46:00Z,0:20,9.6,9.4,NA,0.805,5.6,9.7,32.31,9.6,32.3
FL08,Fall,2008,78,5,2,209,44.51248,-67.45008,44.52107,-67.43663,2008-11-02T08:24:00Z,0:20,28.8,32.3,R,0.774,1.1,9.9,32.75,9.8,32.5
FL08,Fall,2008,79,5,2,226,44.49432,-67.4348,44.49942,-67.41687,2008-11-02T12:39:00Z,0:20,38.2,32.6,R,0.831,3.3,10.1,32.6,9.9,32.56
SP09,Spring,2009,1,1,2,597,42.94808,-70.6007,42.94168,-70.61312,2009-05-04T07:41:00Z,0:15,35,32.1,NA,0.669,49,3.6,32.45,7.9,30.55
SP09,Spring,2009,2,1,2,675,42.86992,-70.6838,42.88405,-70.68323,2009-05-04T09:23:00Z,0:20,32.2,32.3,R,0.847,10,3.4,32.46,3.6,32.33
SP09,Spring,2009,3,1,1,629,42.90577,-70.8009,42.91412,-70.79333,2009-05-04T11:15:00Z,0:16,3.3,3.4,R,0.645,,6.1,32.1,7.1,31.11
SP09,Spring,2009,5,1,1,572,42.94447,-70.72508,42.9538,-70.718,2009-05-04T13:24:00Z,0:16,18.4,18.6,R,0.641,11.1,3.8,32.41,3.9,32.14
SP09,Spring,2009,6,1,3,582,42.95508,-70.49445,42.96162,-70.47893,2009-05-05T07:35:00Z,0:20,50.4,49,R,0.79,8.9,3.5,32.48,3.7,32.35
SP09,Spring,2009,7,1,3,454,43.07937,-70.37507,43.06882,-70.38753,2009-05-05T09:37:00Z,0:20,53.3,56.1,R,0.844,8.3,3.7,32.48,4.3,31.92
SP09,Spring,2009,8,1,3,406,43.13108,-70.36783,43.12257,-70.3824,2009-05-05T11:22:00Z,0:20,57.7,52.5,R,0.818,7.8,3.7,32.42,4.2,32.29
SP09,Spring,2009,10,1,3,328,43.20703,-70.40545,43.19347,-70.41282,2009-05-05T14:29:00Z,0:20,40,39.8,R,0.873,7.2,3.9,32.37,4.2,31.95
SP09,Spring,2009,11,1,2,285,43.21963,-70.47925,43.2312,-70.47245,2009-05-06T08:23:00Z,0:20,27.7,28.2,R,0.8582,6.7,3.7,32.14,4.4,31.85
SP09,Spring,2009,12,1,2,204,43.30322,-70.35112,43.28983,-70.34575,2009-05-06T10:14:00Z,0:20,35,40.4,R,0.862,6.7,4,32.41,4.1,32.33
SP09,Spring,2009,13,1,1,198,43.2969,-70.49487,43.28597,-70.50552,2009-05-06T13:12:00Z,0:20,18.7,18.7,R,0.821,7.8,5.1,31.82,5.4,31.44
SP09,Spring,2009,14,1,1,300,43.20023,-70.57428,43.2137,-70.57057,2009-05-06T14:58:00Z,0:20,14.1,14.7,R,0.825,,6.2,31.36,7.4,30.42
SP09,Spring,2009,15,1,4,429,43.11498,-70.23658,43.11582,-70.25457,2009-05-07T07:56:00Z,0:20,79.7,76.4,R,0.791,,4,32.89,4.6,32.62
SP09,Spring,2009,16,1,4,336,43.20005,-70.21537,43.18807,-70.22445,2009-05-07T09:41:00Z,0:20,64.6,63.8,R,0.823,,3.9,29.77,5.3,32.75
SP09,Spring,2009,17,1,4,319,43.22682,-70.14993,43.21382,-70.15068,2009-05-07T11:26:00Z,0:20,70.3,67.6,RA,0.78,,3.9,32.85,4.5,32.72
SP09,Spring,2009,18,1,3,208,43.31007,-70.2639,43.29815,-70.27392,2009-05-07T13:40:00Z,0:20,54.5,49.6,RA,0.839,,4.1,32.43,4.2,32.38
SP09,Spring,2009,20,1,4,70,43.44522,-70.09122,43.45733,-70.0824,2009-05-08T07:40:00Z,0:20,65,65.7,R,0.82,,3.8,32.43,4,32.35
SP09,Spring,2009,21,1,3,79,43.42295,-70.1475,43.43442,-70.15703,2009-05-08T09:11:00Z,0:20,61,54.1,R,0.803,9.4,4.3,32.38,4.2,32.24
SP09,Spring,2009,23,1,1,72,43.42937,-70.31115,43.44102,-70.31883,2009-05-08T11:49:00Z,0:20,20.1,15.6,R,0.773,,8.7,30.99,8,29.65
